link,name,company,position
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888753,Maggie Curran,Belkin International	,"Vice President Sales, E-Commerce and Business Divisions, Americas"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877066,Ted Curtin,ProdigyWorks,Chief Innovation Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888562,Chris Curtin,Visa,Chief Brand & Innovation Marketing Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888404,Dani Cushion,Cardlytics,CMO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843497,Joe Cutler,Perkins Coie LLP,Partner
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877694,Jeff Cutler,Ada Health,Chief Commercial Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890419,April Daniels Hussar,Bustle Digital Group,"Managing Editor, Romper"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888390,Mariana Danilovic,Infiom,Managing Director
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888433,Tim Danks,Huawei,"VP, Risk Management & Partner Relations"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883886,Bill Darcy,National Kitchen and Bath Association,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877138,Michael Davies,Fox Sports,Sr. VP & Technical Ops
https://ces.techhttps://www.ces.tech/conference/speaker-directory/884261,Jordan Davis,The Columbus Partnership,"Director, Smart Columbus"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843749,Mieke De Ketelaere,imec,Program Director AI
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886996,Glen De Vos,Aptiv,Senior Vice President & Chief Technology Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877113,Bryan de Zayas,Dell,Global Director of Marketing
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890726,Ester Dean,"""Songland""",Producer-Mentor
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886907,Sayon Deb,Consumer Technology Association,Sr. Research Analyst
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888388,Dean DeBiase,Revieve Inc,Chairman
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889560,Keri Degroote,Pandora,"SVP, Sales Research & Analytics"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/894246,Mishka Dehghan,Sprint,VP 5G Development
https://ces.techhttps://www.ces.tech/conference/speaker-directory/894347,Kate Del Castillo,,International superstar and the lead on La Reina del Sur
https://ces.techhttps://www.ces.tech/conference/speaker-directory/887210,Jaime  DeLanghe,Slack,"Director of Product Management, Search & Discovery"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886805,Eugene Demaitre,WTWH Media -- The Robot Report,Senior Editor
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888764,Anna  Demeo,RacePoint	Energy,President	
https://ces.techhttps://www.ces.tech/conference/speaker-directory/884131,Tobias Dengal,Willowtree,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892342,Richard Dennis,TemTum,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892232,Matt Derella,Global VP Customers,Twitter
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889003,Julie DeTraglia,Hulu,Head of Research & Insights 
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886903,David DeWolf,,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890423,David Di Bene,"Toys ""R"" Us Stores USA",Chief Marketing Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/865030,Dawn Dickson,PopCom,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888725,Derrick Dicoi,Comcast Cable,"Vice President, Strategy and Product Management"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/887185,Erik  Diehn,Stitcher,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890403,Andy Dinh,TSM,Founder and CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883436,Dante Disparte,Libra Association,Head of Policy and Communications
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877338,Oliver Dlouhy,kiwi.com,CEO & Co-Founder
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877719,Heidi Dohse,Tour de Heart,Principal
